magnitude,depth_km,lat,lng,dist_to_coast_km,central_pressure_hpa,max_wind_knots,wave_intensity,label
7.0,31.0,40.0,25.0,9149.811597499809,,,1.5,tsunami
7.0,31.0,51.45,-2.583,9430.09584422882,,,1.5,tsunami
7.0,31.0,36.08,36.25,8705.668115404946,,,3.0,tsunami
7.0,31.0,40.0,128.0,1138.7138543315616,,,1.0,tsunami
6.0,31.0,39.96,26.24,9077.24358933322,,,5.0,tsunami
7.0,31.0,37.5,119.5,1886.733078204119,,,1.5,tsunami
7.0,31.0,37.0,126.0,1329.0925787502583,,,0.5,tsunami
7.0,31.0,38.4,-28.1,11417.653689617307,,,1.5,tsunami
7.0,31.0,33.1,139.8,585.2799624172249,,,0.5,tsunami
7.0,31.0,31.9,140.0,714.278951545377,,,1.5,tsunami
7.0,31.0,50.6,-2.4659999999999997,9509.785151125423,,,1.5,tsunami
7.0,31.0,33.6,136.0,688.3794246592994,,,1.0,tsunami
7.0,31.0,49.465,-2.585,9625.320185540177,,,1.5,tsunami
7.0,31.0,60.383,5.332999999999999,8326.690857724416,,,1.5,tsunami
7.0,31.0,38.4,-27.1,11403.826098348896,,,1.5,tsunami
7.0,31.0,38.5,-28.1,11406.663054798828,,,1.5,tsunami
7.0,31.0,33.1,139.767,585.8497316973734,,,1.5,tsunami
7.0,31.0,50.11600000000001,-5.483,9654.390897649988,,,1.5,tsunami
7.0,31.0,41.04,28.98,8826.01211451427,,,3.0,tsunami
7.0,31.0,38.0,125.7,1339.1637649178467,,,0.0,tsunami
7.0,31.0,64.0,-19.683,8517.030848345394,,,1.5,tsunami
7.0,31.0,54.68,-1.21,9070.669730936823,,,1.5,tsunami
7.0,31.0,28.271,-16.641,12260.088223964065,,,1.5,tsunami
7.0,31.0,37.5,129.5,1014.3939814541111,,,1.5,tsunami
6.3,31.0,36.404,25.396,9406.215625101127,,,6.0,tsunami
7.0,31.0,45.5,11.0,9447.152142714102,,,3.0,tsunami
7.0,31.0,38.733,-27.066,11366.820059123183,,,1.0,tsunami
7.0,31.0,34.8,138.6,442.35761109000845,,,1.5,tsunami
7.0,31.0,36.3,126.0,1345.6297347849077,,,0.0,tsunami
7.0,31.0,37.5,126.0,1319.9268622133138,,,0.5,tsunami
7.0,31.0,51.5,0.466,9322.862310920355,,,1.5,tsunami
7.0,31.0,32.5,130.6,1141.029744849585,,,1.5,tsunami
7.0,31.0,51.5,0.1,9335.521000740653,,,1.5,tsunami
6.2,31.0,36.404,25.396,9406.215625101127,,,3.0,tsunami
7.0,31.0,51.5,-0.08,9341.709255144911,,,1.5,tsunami
7.0,31.0,51.208,-4.122,9503.075253117424,,,1.5,tsunami
7.0,31.0,35.1,129.05,1123.4635902793786,,,0.0,tsunami
7.0,31.0,39.5,20.0,9486.376420232215,,,2.0,tsunami
7.0,31.0,10.633,-64.3,13974.478712053715,,,1.5,tsunami
7.1,31.0,38.4,22.3,9439.795751552318,,,4.0,tsunami
7.0,31.0,31.7,35.5,9069.797122793534,,,3.0,tsunami
7.0,31.0,13.6,123.2,3257.5687444265195,,,1.5,tsunami
7.0,31.0,-36.8,-73.0,17027.34882696016,,,1.5,tsunami
7.0,31.0,35.683,35.8,8765.002618278028,,,6.0,tsunami
7.0,31.0,-6.1739999999999995,106.829,6073.395746469415,,,0.0,tsunami
7.0,31.0,-5.0,102.0,6269.566332270876,,,0.5,tsunami
7.0,31.0,49.5,-2.5,9619.010740083155,,,1.5,tsunami
6.6,31.0,38.4,27.1,9143.64434721685,,,2.0,tsunami
6.8,31.0,38.4,27.3,9131.009337893698,,,1.5,tsunami
7.0,31.0,40.4,-8.7,10741.43018398983,,,1.5,tsunami
7.0,31.0,38.7,-9.1,10928.550736132984,,,1.5,tsunami
7.0,31.0,49.92,-6.32,9699.733449193109,,,1.5,tsunami
7.0,31.0,50.8,5.7,9195.58702285683,,,1.5,tsunami
6.5,31.0,41.3,19.7,9355.76540231008,,,3.0,tsunami
7.0,31.0,33.56,35.37,8946.076548777834,,,3.0,tsunami
7.0,31.0,33.27,35.22,8977.470130678998,,,6.0,tsunami
7.0,31.0,37.1,138.0,296.21375931598067,,,2.0,tsunami
7.0,31.0,10.7,-64.1,13976.693151291616,,,1.5,tsunami
7.0,31.0,34.8,139.0,426.00875287279206,,,1.5,tsunami
8.5,31.0,34.5,-13.0,11491.798685700569,,,2.0,tsunami
6.6,31.0,33.3,131.7,1005.5558636950569,,,1.5,tsunami
6.4,31.0,34.4,137.7,523.1447067791095,,,1.5,tsunami
7.5,31.0,-6.0,107.0,6046.896165177104,,,-0.5,tsunami
7.0,31.0,-6.92,129.125,5173.478842083722,,,0.0,tsunami
7.0,31.0,13.1,121.6,3392.6794237868903,,,1.0,tsunami
7.0,31.0,17.0,121.0,3064.941606918392,,,1.0,tsunami
7.0,50.0,-16.6,-72.7,15944.25144413403,,,1.5,tsunami
6.7,31.0,35.2,140.6,343.3299526971933,,,1.0,tsunami
6.8,31.0,40.9,28.9,8841.452759214926,,,3.0,tsunami
7.0,31.0,17.6,-76.5,12672.782605032013,,,1.5,tsunami
6.7,31.0,25.0,125.5,2076.731815505362,,,1.0,tsunami
7.0,31.0,31.5,121.5,1928.5043449599664,,,0.0,tsunami
6.5,31.0,36.8,24.4,9438.04973385191,,,3.0,tsunami
6.5,31.0,35.2,140.8,341.82370173215827,,,1.0,tsunami
7.0,31.0,16.8,-99.9,11200.994591912657,,,1.5,tsunami
7.5,80.0,-17.3,-70.8,16144.758941098336,,,1.5,tsunami
6.7,31.0,34.3,134.0,768.5467629715422,,,1.0,tsunami
7.0,31.0,-4.53,129.9,4895.357777577933,,,1.5,tsunami
7.0,31.0,-3.69,128.15,4850.3560991376335,,,2.0,tsunami
7.0,31.0,34.0,137.0,596.4883181138204,,,1.0,tsunami
6.5,31.0,36.5,126.5,1296.9281758463744,,,1.0,tsunami
6.4,31.0,33.3,131.7,1005.5558636950569,,,1.5,tsunami
7.5,31.0,-32.8,-70.7,17095.7555295645,,,1.5,tsunami
7.0,31.0,37.5,129.5,1014.3939814541111,,,1.5,tsunami
7.0,31.0,13.0,121.0,3435.9119036718184,,,1.0,tsunami
6.0,31.0,-3.7,128.2,4850.027535424305,,,0.0,tsunami
7.0,31.0,1.375,127.52,4327.474275221991,,,1.0,tsunami
6.5,31.0,40.0,26.0,9088.872033466809,,,1.5,tsunami
